compound	74	concatenate	ni military intelligence service (Inter-	Services Intelligence Directorate, or IS
compound	76	concatenate	e Farouq mosque in Brooklyn. In the mid-	1980s, it had been set up as one of the 
compound	143	concatenate	West, since he refused to meet with non-	Muslims. The United States learned that 
compound	145	concatenate	 Tenet for a Small Group meeting in mid-	November, the Counterterrorist Center st
compound	147	concatenate	 “next couple of weeks” to free ‘Abd al-	Rahman and the other prisoners, accordin
compound	164	concatenate	 Abdul Rasul Sayyaf, head of the Hizbul-	Ittihad El-Islami (Islamic Union Party).
compound	217	concatenate	ues such as North Korea and the Israeli-	Palestinian peace process.160
block	220	-1	178 In March 2001, the CIA’s brief-	ing slides for Rice were still describin
compound	221	concatenate	 consider options for aiding other anti-	Taliban groups.191 Meanwhile, the admini
compound	225	concatenate	ted disagreements about ongoing Israeli-	Palestinian violence, not about Bin Ladi
compound	242	concatenate	 Ihab Ali, had taken lessons in the mid-	1990s), Atta started flight instruction 
compound	259	concatenate	stayed in hotels and motels; but by mid-	June, they settled in shared apartments 
compound	264	concatenate	ncern was unwarranted, and in their mid-	July discussion reassured KSM that Atta 
compound	266	concatenate	vealed by a set of contemporaneous Atta-	Binalshibh communications that were reco
compound	294	concatenate	hi was a key lieutenant in al Qaeda. Al-	Ballushi means “from Baluchistan,” and K
compound	350	concatenate	paper titled “Game Plan for a Political-	Military Strategy for Pakistan and Afgha
compound	372	concatenate	een lost track of, for example. The pre-	9/11 FBI might not have been judged capa
compound	399	concatenate	r, PSI membership should be open to non-	NATO countries. Russia and China should 
compound	426	concatenate	anizing national defense, the Goldwater-	Nichols legislation of 1986 created join
compound	426	concatenate	entral Command (CENTCOM). The Goldwater-	Nichols Act required officers to serve t
block	438	-1	the intel-	ligence establishment and be clearly acc
compound	450	removeHyphen	– Commander, U.S. Central Command (CENT-	COM), 2001–2003
compound	451	removeHyphen	Commander, U.S. Central Command (CENT-	COM), 1997–2000
compound	475	removeHyphen	engers and Crew Who Fought Back (Harper-	Collins, 2002), p. 107; Deena Burnett in
compound	483	concatenate	uctions, see USSS memo, Beauchamp to AD-	Inspection, September 11 experience, Feb
compound	485	concatenate	 Al-Qaida’s Jihad in Europe: The Afghan-	Bosnian Network (Berg, 2004).
compound	486	concatenate	d Usama Bin Ladin All Suspects,” CTC 96-	30015, July 5, 1996; DIA analytic report
compound	488	concatenate	s with Southeast Asia and the Malaysian-	Indonesian JI, see, e.g., Intelligence r
compound	490	concatenate	lenging the Secret Government: The Post-	Watergate Investigations of the CIA and 
compound	493	concatenate	www.meforum.org/article/25). On the pre-	9/11 number of JTTFs, see Louis Freeh pr
compound	520	concatenate	nd—Khalid Bin Muhammad bin ‘Abdallah al-	Midhar,” Jan. 6, 2000.
compound	521	concatenate	 March 10, 2000, PC on Millennium After-	Action Review, Apr. 3, 2000; Samuel Berg
compound	525	concatenate	d States v. Jamal Ahmed Mohammed Ali al-	Badawi, No. S12 98 Cr. 1023 (KTD) (S.D. 
compound	529	concatenate	, “Option for integrated al Qida-Afghan-	Pakistan paper,” June 30, 2001. For Stat
compound	544	concatenate	wo men helped Hamlan cross the Pakistan-	Afghanistan border.
compound	546	concatenate	the Hollywood, Florida, apartment. Post-	9/11 investigation revealed that during 
compound	554	concatenate	 2001; SD 108-00, July 27, 2001; SD 108-	00, July 27, 2001; SD 108-01, Aug. 21, 2
compound	578	concatenate	he Untold Story of Pearl Harbor (McGraw-	Hill, 1981), pp. 732–733. For a brief su
