2	7	𝑒|+	𝑓 or 𝑝𝑡.𝑒 + E < 𝑝𝑡.𝑓 ([6]). Here, ℎ𝑙𝑐.𝑒 denotes the Hybrid Logical
2	7	+|E	𝑓 or 𝑝𝑡.𝑒 + E < 𝑝𝑡.𝑓 ([6]). Here, ℎ𝑙𝑐.𝑒 denotes the Hybrid Logical
2	7	E|<	𝑓 or 𝑝𝑡.𝑒 + E < 𝑝𝑡.𝑓 ([6]). Here, ℎ𝑙𝑐.𝑒 denotes the Hybrid Logical
2	16	𝑒|−	𝑓 such that |𝑝𝑡.𝑒 − 𝑝𝑡.𝑓| < E and 𝑒||𝑓, i.e., the events are causally
2	16	−|𝑝	𝑓 such that |𝑝𝑡.𝑒 − 𝑝𝑡.𝑓| < E and 𝑒||𝑓, i.e., the events are causally
2	16	||<	𝑓 such that |𝑝𝑡.𝑒 − 𝑝𝑡.𝑓| < E and 𝑒||𝑓, i.e., the events are causally
2	89	≤|𝑣	words, 𝑣𝑐.𝑒 < 𝑣𝑐.𝑓 iff (∀𝑗 :: 𝑣𝑐.𝑒.𝑗 ≤ 𝑣𝑐.𝑓.𝑗)∧(∃𝑗 :: 𝑣𝑐.𝑒.𝑗 < 𝑣𝑐.𝑓.𝑗).
2	100	𝑗|−	by at most E, where E is a parameter, i.e., ∀𝑗,𝑘 :: |𝑝𝑡.𝑗 − 𝑝𝑡.𝑘| ≤ E.
2	100	−|𝑝	by at most E, where E is a parameter, i.e., ∀𝑗,𝑘 :: |𝑝𝑡.𝑗 − 𝑝𝑡.𝑘| ≤ E.
2	100	||≤	by at most E, where E is a parameter, i.e., ∀𝑗,𝑘 :: |𝑝𝑡.𝑗 − 𝑝𝑡.𝑘| ≤ E.
2	100	≤|E	by at most E, where E is a parameter, i.e., ∀𝑗,𝑘 :: |𝑝𝑡.𝑗 − 𝑝𝑡.𝑘| ≤ E.
3	20	𝑒|=	𝐹𝑟𝑜𝑛𝑡𝐿𝑖𝑛𝑒 = {𝑒|(𝑒,𝑡𝑠.𝑒)∈𝑆∧¬(∃𝑓 : (𝑓,𝑡𝑠.𝑓)∈𝑆∧𝑡𝑠.𝑓 <
3	24	𝑆|=	5: 𝑆 = 𝑆 − {𝑒}
3	24	𝑆|−	5: 𝑆 = 𝑆 − {𝑒}
3	24	−|{	5: 𝑆 = 𝑆 − {𝑒}
